id,title,authors,abstract,categories,published,url,resource_uri,no,total_results
2607.03982v1,A Semantic Framework for Reproducible Variational Quantum Algorithm Execution Records,"['Silvie Illésová', 'Martin Beseda']","Variational quantum algorithms are hybrid quantum-classical workflows whose results depend on many interacting choices, including the ansatz, Hamiltonian, optimizer, backend, shot count, noise model, mitigation method, random seed, stopping criteria, and software versions. In current practice, this information is often scattered across code, configuration files, logs, backend metadata, and paper descriptions, making executions difficult to reproduce, compare, debug, and reuse. This paper proposes an ontology-supported framework for representing Variational Quantum Algorithm (VQA) execution records as structured and machine-readable software engineering artifacts. The framework defines a Web Ontology Language (OWL) ontology for modeling the main entities involved in VQA experimentation, including algorithms, circuits, ansatzes, Hamiltonians, optimizers, backends, noise models, mitigation techniques, execution steps, software environments, measurement outcomes, and results. It further combines the ontology with Shapes Constraint Language (SHACL) constraints for validating completeness and consistency, and SPARQL Protocol and RDF Query Language (SPARQL) competency queries for retrieving reproducibility-relevant information. We demonstrate the approach using Variational Quantum Eigensolver (VQE) execution records, including a valid record and intentionally incomplete or inconsistent examples. The results show that the framework can represent complete VQA execution contexts, detect missing or malformed metadata, and support query-based inspection of information needed for reproducible quantum software experimentation.",['quant-ph'],2026-07-04T18:40:09+00:00,https://arxiv.org/pdf/2607.03982v1,arxiv://2607.03982v1,1,20
2607.02894v1,Digital Quantum Simulation of Nonequilibrium Dynamics in the Schwinger Model under a Strong External Electric Field,"['Haobin Chen', 'Lin Cheng', 'Xingyu Guo']","We use the (1+1)-dimensional Schwinger model to investigate the nonequilibrium dynamics of a finite lattice system under a constant external electric field. The lattice Hamiltonian is constructed under open boundary conditions. The vacuum state is prepared using the variational quantum eigensolver (VQE). Scans over the external field strength show the flip of the vacuum state at several field strengths. The critical field strengths agree with theoretical predictions. We further investigate the real-time evolution of the zero-field vacuum under an external electric field using a second-order Trotter-Suzuki decomposition. By comparison with exact diagonalization (ED), we verify that the quantum-simulation protocol reproduces the main features of field-induced boundary charge separation, decay of the vacuum-state fidelity, and quasiperiodic energy redistribution between the electric-field energy term and the fermionic sector. Our results indicate that combining VQE-based state preparation with digital real-time evolution provides a useful approach for studying nonequilibrium dynamics in strong-field lattice gauge theories.","['hep-lat', 'hep-ph', 'quant-ph']",2026-07-03T02:43:21+00:00,https://arxiv.org/pdf/2607.02894v1,arxiv://2607.02894v1,2,20
2607.00575v1,Reducing quantum resources for ADAPT-VQE via plateau-operator elimination and correlated mean-field downfolding,"['Phuoc Minh Vo', 'Thai Cong Ngoc Vu', 'Thien Ngoc Tran', 'Hoang Thanh Nguyen', 'Lan Nguyen Tran']","Adaptive Derivative-Assembled Problem-Tailored variational quantum eigensolvers (ADAPT-VQE) represent one of the most promising approaches for quantum chemistry on near-term quantum devices. However, their optimization is slow and may stall due to vanishing parameters and redundant operators in the ansatz. In this work, we propose a simple strategy of operator elimination that removes non-contributing operators from the pool once they are detected, enabling the optimization to continue progressing toward convergence. We examine two variants, with and without pool restoration after elimination, and find that the former converges more smoothly and faster than the latter and the standard ADAPT-VQE. To capture dynamical correlations between the active space and its environment, we combine ADAPT-VQE with our recently developed downfolding approach, the one-body downfolding framework (OBDF). In OBDF, the bare molecular Hamiltonian in the active space is replaced by a correlated effective Hamiltonian that incorporates dynamical correlation effects outside the active space. We benchmark our implementation on a linear \ce{H_6} chain, an \ce{H_6} lattice, an \ce{H_6} ring, and the \ce{N_2} molecule using the OpenFermion simulator. Our results show that operator elimination significantly reduces circuit depth and iteration count, and that OBDF-ADAPT-VQE yields energies closer to the full configuration interaction (FCI) reference than the standard approach within the same active space.","['quant-ph', 'physics.chem-ph']",2026-07-01T07:59:13+00:00,https://arxiv.org/pdf/2607.00575v1,arxiv://2607.00575v1,3,20
2606.29692v1,Alleviating the Sparse Matrix Scaling Bottleneck in Adaptive VQE via High-Order Taylor State Evolution,['Hermawan Kresno Dipojono'],"The Variational Quantum Eigensolver (VQE) is a leading algorithm for noisy intermediate-scale quantum (NISQ) devices, but its adaptive variants (e.g., ADAPT-VQE) suffer from severe classical simulation bottlenecks during the ansatz growth phase. Representing and exponentiating pool operators for multi-qubit systems constructs massive sparse matrices that quickly scale to millions of elements, choking classical memory bandwidth and CPU/GPU cycle capacity. In this work, we present a resource-efficient software-layer framework that completely bypasses dense matrix exponentiation by evaluating state updates through a deterministic fifth-order (O(5)) Taylor series expansion. This approach reframes the costly unitary evolution into a chained sequence of five lightweight, successive sparse matrix-vector multiplications scaling strictly as O(Nz), where Nz is the number of non-zero elements. We validate our framework using equilibrium BeH2 (14 qubits), equilibrium H2O (12 qubits), and strongly correlated asymmetrically stretched H2O molecular profiles under both Jordan-Wigner (JW) and Bravyi-Kitaev (BK) transformations. The simulation results demonstrate that the O(5) truncation maintains exceptional numerical fidelity, retaining a state fidelity > 0.999999 and matching absolute ground state energies down to subchemical accuracy, while effortlessly navigating matrix spaces exceeding 268 million structural elements. This framework provides a scalable, high-performance pathway for executing deep variational simulations on hardware platforms with constrained computational budgets.",['quant-ph'],2026-06-29T01:40:26+00:00,https://arxiv.org/pdf/2606.29692v1,arxiv://2606.29692v1,4,20
2606.28866v3,Quantum Variational Approaches to the Maximum Independent Set Problem at Utility Scale,"['Kalyan Dasgupta', 'Sumanta Mukherjee', 'Dhriti Verma', 'Surya Shravan Kumar Sajja', 'Abhishek Singh', 'Dzung Phan', 'Jayant Kalagnanam']","We study variational quantum algorithms for the Maximum Independent Set (MIS) problem on benchmark graphs of 64, 99, and 180 vertices. The Variational Quantum Eigensolver (VQE) and Quantum Approximate Optimization Algorithm (QAOA) are compared across SPSA and COBYLA optimizers at multiple circuit depths. A preprocessing pipeline comprising spectral graph reordering (via the Fiedler vector) and distance-based sparsification reduces circuit depth while preserving energy fidelity. Classical post-processing via history-guided bitstring correction and stepwise maximality extension recovers the exact MIS across all instances. With CVaR optimization, VQE with SPSArecovers up to 6 distinct MIS per run for the 64-node instance and up to 10 distinct MIS per run for the 99-node instance, sampling broadly from the optimal solution population. Repeated runs with different SPSA trajectories collectively enumerate a larger fraction of all MIS for each instance. For the 180-node instance, where standard approaches stall at size 14 (MIS is 15), we introduce ancilla-assisted superposition initialization: ancilla qubits prepare a uniform superposition over classically-found near-optimal solutions, and an excitation-preserving ansatz evolves this state while conserving Hamming weight. This novel construction enables quantum-parallel variational search over multiple seeds simultaneously, discovering the exact MIS where single-seed methods fail. The 180-qubit simulation represents, to our knowledge, the largest scale at which gate-based variational algorithms have solved MIS to optimality. Hardware validation on IBM Quantum hardware ibm_marrakesh confirms that converged simulator parameters transfer effectively to noisy quantum execution.",['quant-ph'],2026-06-27T11:15:45+00:00,https://arxiv.org/pdf/2606.28866v3,arxiv://2606.28866v3,5,20
2606.26912v2,A Givens-exchange ansatz for molecular variational eigensolvers,"['Azadeh Alavi', 'Fatemeh Kouchmeshki', 'Muhammad Usman', 'Yongli Ren', 'Ke Deng', 'Hossein Akhoundi', 'Abdolrahman Alavi']","Molecular ground-state energies help determine conformer rankings, reaction energetics, and electronic effects in computational drug discovery, but accurate calculations become difficult when strong correlation or large active spaces are important. Variational quantum eigensolvers estimate these energies by optimizing a parameterized quantum state, making ansatz design central to both accuracy and cost. We study a fixed-topology Givens-exchange ansatz that avoids architecture search. The circuit starts from the computational-basis state with the lowest diagonal Hamiltonian expectation and applies local RY rotations with two ordered all-pair Givens exchange blocks. Parameters are optimized using Hamiltonian expectation values, while exact diagonalization is used only after optimization to compute errors and fidelities. Across six fixed seeds, coefficient-verified LiH-6 and H2O-8 Hamiltonians, together with a BeH2-6 public-specification candidate, are chemically accurate in every run. The corresponding six-seed mean errors are 0.000000124 Hartree, equivalent to 0.000124 milli-Hartree; 0.000128558 Hartree, equivalent to 0.128558 milli-Hartree; and 0.000002152 Hartree, equivalent to 0.002152 milli-Hartree, respectively. On LiH-6 and H2O-8, these mean errors are lower than the published point errors of the compared quantum-architecture-search methods, while the ansatz uses a larger pre-compilation macro budget. The method is therefore an accurate, reproducible, and search-free reference template for molecular variational eigensolvers.","['physics.chem-ph', 'quant-ph']",2026-06-25T11:49:07+00:00,https://arxiv.org/pdf/2606.26912v2,arxiv://2606.26912v2,6,20
2606.26882v1,Shallow Quantum Circuits for Deep Chemistry via Valence Bond Embeddings,"['Francisco Javier del Arco Santos', 'Jakob S. Kottmann']","Quantum chemistry is one of the major potential applications in quantum computation. Currently there is a considerable focus on relatively small active spaces as a consequence of hardware noise and exponential bottlenecks in simulations. In the long run, there will be an increasing demand in reliable approximations for larger systems -- both, as initial states for projective algorithms like the quantum phase estimation or for the evaluation of dynamical properties. While numerous approaches to select active spaces and extrapolate basis set accuracy exist, there is currently no consistent approach that results in a single quantum circuit for the total system. In this work, we combine hybrid Fermionic-Bosonic encodings with the structured approach of Quantum Valence Bond Theory to directly construct quantum circuits for comparably large molecular systems. With this approach we are able to push simulability barrier of variational quantum eigensolvers towards chemically relevant systems and demonstrate circuit designs that outperform active space counterparts and achieve good approximations with respect to the exact solutions.",['quant-ph'],2026-06-25T11:11:18+00:00,https://arxiv.org/pdf/2606.26882v1,arxiv://2606.26882v1,7,20
2606.20153v1,Optimizing resource allocation for accuracy in noisy variational quantum algorithms,"['Harshit Verma', 'Thomas Ayral', 'Alexia Auffèves', 'Robert Whitney']","For quantum algorithms to achieve their full potential, we need methodologies to optimize them, such as reaching a given output accuracy with minimal resource costs. Here, we develop such a methodology for a class of Noisy Intermediate-Scale Quantum (NISQ) algorithms. We leverage simulations of a Variational Quantum Eigensolver (VQE) to propose a phenomenological model of such algorithms that captures the complex relationship between algorithmic accuracy, algorithmic resource costs, and the noise that exists in realistic quantum hardware. For this, we take the algorithmic resource cost to be the total number of quantum gate-operations in the algorithm; minimizing this cost typically makes the algorithm faster and more energy-efficient. We consider the subtle trade-off between quantum circuit size (small circuits are too imprecise, but large ones are too noisy), and the number of iterations of that quantum circuit for the full algorithm to sufficiently converge. Using a noise-metric-resource methodology, we identify the sweet spot (of circuit size versus iterations) that minimizes the algorithmic resource costs for a desired algorithm accuracy. It also gives the circuit size that maximizes algorithm accuracy for a fixed resource cost. Our methodology provides a practical guideline for near-term deployment of variational algorithms on realistic noisy hardware, including hardware that uses error mitigation.","['quant-ph', 'cond-mat.other', 'physics.comp-ph']",2026-06-18T12:19:39+00:00,https://arxiv.org/pdf/2606.20153v1,arxiv://2606.20153v1,8,20
2606.20017v1,All-valid-state HOBO encoding for constrained combinatorial optimization on NISQ devices,"['Juncheng Wang', 'Takumi Kanezashi', 'Daisuke Tsukayama', 'Koki Awaya', 'Reo Saito', 'Jun-ichi Shirakashi', 'Tetsuo Shibuya', 'Hiroshi Imai']","Continued advancements in quantum computing have stimulated growing interest in translating quantum technologies into real-world applications. Consequently, the investigation of practically motivated NP-hard problems is of significant value. This study investigates the performance of a variational quantum eigensolver (VQE) in addressing the traveling salesperson problem (TSP) through noiseless simulations representative of noisy intermediate-scale quantum (NISQ) devices using higher-order binary optimization (HOBO) encodings. We construct a HOBO Hamiltonian with an efficient binary representation and propose an all-valid-state HOBO (AVS-HOBO) scheme based on cyclic mapping that eliminates one penalty term and reuses states that would otherwise be invalid. Using TSP instances of up to 20 cities, we compare the original HOBO and AVS-HOBO encodings from multiple perspectives, including the energy convergence behavior and the approximation, tour-length, and feasibility ratios. In addition to simulations, we perform computations on real quantum hardware with different device architectures, where we not only compare the performances of different chips but also investigate the effects of different error-mitigation methods on actual quantum machines. The results indicate that AVS-HOBO encoding enhances the practical reliability of VQE on NISQ devices and improves scalability for larger TSP instances, with broader applicability to constrained quantum optimization problems.",['quant-ph'],2026-06-18T09:48:47+00:00,https://arxiv.org/pdf/2606.20017v1,arxiv://2606.20017v1,9,20
2606.18916v1,Exceptional-Point-Anchored Variational Quantum Eigensolver for Non-Hermitian Many-Body Phase Diagrams: Bridging Skin-Effect Topology and Entanglement Criticality on NISQ Hardware,"['Akoramurthy B', 'Surendiran B', 'Xiaochun Cheng']","We introduce the Biorthogonal Variational Quantum Eigensolver (B-VQE), a quantum algorithm for simulating non-Hermitian many-body systems on noisy intermediate-scale quantum (NISQ) hardware. Non-Hermitian quantum matter exhibits exceptional points, parity-time symmetry breaking, and non-Hermitian skin effects, yet existing quantum algorithms often rely on costly post-selection procedures and are not designed to capture biorthogonal eigenstates.
  B-VQE employs independent variational circuits to represent the left and right eigenstates of a non-Hermitian Hamiltonian and optimizes a biorthogonal objective function that directly tracks non-Hermitian phase transitions. The framework incorporates an Exceptional-Point Detector (EPD) that identifies exceptional points through a hardware-native coalescence metric and a Non-Hermitian Quantum Geometric Tensor (NH-QGT) readout that distinguishes state-topological and band-topological signatures in interacting many-body systems. To overcome the exponential overhead associated with conventional non-Hermitian simulation, we develop an importance-sampling mitigation strategy that removes the need for ancilla-based post-selection while retaining polynomial computational scaling.
  We validate the approach on three representative models: a non-Hermitian Hubbard chain, a non-Hermitian XXZ spin chain, and a two-dimensional non-Hermitian (t)-(J) model. B-VQE achieves relative energy errors below (5\times10^{-3}) and locates exceptional points with high accuracy on noise-free simulations while resolving phase boundaries associated with localization, quantum scars, and skin-effect physics. These results establish B-VQE as a scalable NISQ methodology for constructing non-Hermitian many-body phase diagrams and exploring topological and critical phenomena in open quantum systems.",['quant-ph'],2026-06-17T10:43:26+00:00,https://arxiv.org/pdf/2606.18916v1,arxiv://2606.18916v1,10,20
