id,title,authors,abstract,categories,published,url,resource_uri,no,total_results
2605.00205v3,"Quantum in Biology, Quantum for Biology, and Biology for Quantum: Mapping the Evidence and the Road Ahead","['Lea Gassab', 'Betony Adams', 'Yashine H. Goolam Hossen', 'Abbas Hassasfar', 'Onur Pusuluk', 'Nirosha J. Murugan', 'Iannis K. Kominis', 'Özgür E. Müstecaplıoğlu', 'Francesco Petruccione', 'Travis J. A. Craddock']","Quantum science and biology now intersect in three complementary directions: quantum in biology, quantum for biology, and biology for quantum. This review provides a structured narrative evidence map of that interface rather than an exhaustive catalogue or formal systematic review. For each topic, we ask what the mechanistic or technological claim is, which quantum resource is invoked, what the strongest experiments and models establish, which classical alternatives or engineering confounds remain competitive, and what decisive tests or benchmarks would most strongly change confidence. The most mature quantum-in-biology cases remain mechanistically constrained tunneling in some enzymatic hydrogen-transfer reactions and radical-pair spin chemistry as a viable framework for magnetoreception, whereas several higher-visibility topics remain suggestive but unresolved under physiological conditions. In quantum for biology, the central issue is whether quantum-enabled tools improve biological inference relative to strong classical baselines under realistic calibration, dose, throughput, and uncertainty constraints. In biology for quantum, the strongest claims arise when biomolecular structure or self-assembly measurably improves fabrication, integration, or robustness in quantum devices. Summary tables in the Appendix provide a compact cross-map view of the current evidence, major confounds, and the experiments or benchmarks most likely to discriminate between competing explanations.",['quant-ph'],2026-04-30T20:29:30+00:00,https://arxiv.org/pdf/2605.00205v3,arxiv://2605.00205v3,1,20
2602.20352v1,Quantum Machine Learning for Complex Systems,"['Vinit Singh', 'Amandeep Singh Bhatia', 'Mandeep Kaur Saggi', 'Manas Sajjan', 'Sabre Kais']","Quantum machine learning (QML) is rapidly transitioning from theoretical promise to practical relevance across data-intensive scientific domains. In this Review, we provide a structured overview of recent advances that bridge foundational quantum learning principles with real-world applications. We survey foundational QML paradigms, including variational quantum algorithms, quantum kernel methods, and neural-network quantum states, with emphasis on their applicability to complex quantum systems. We examine neural-network quantum states as expressive variational models for correlated matter, non-equilibrium dynamics, and open quantum systems, and discuss fundamental challenges associated with training and sampling. Recent advances in quantum-enhanced sampling and diagnostics of learning dynamics, including information-theoretic tools, are reviewed as mechanisms for improving scalability and trainability. The Review further highlights application-driven QML frameworks in drug discovery, cancer biology, and agro-climate modeling, where data complexity and constraints motivate hybrid quantum-classical approaches. We conclude with a discussion of federated quantum machine learning as a route to distributed, privacy-preserving quantum intelligence. Overall, this Review presents a unified perspective on the opportunities and limitations of QML for complex systems.",['quant-ph'],2026-02-23T20:54:08+00:00,https://arxiv.org/pdf/2602.20352v1,arxiv://2602.20352v1,2,20
2601.22635v1,"Noise-Assisted Metastability: From Lévy Flights to Memristors, Quantum Escape, and Josephson-based Axion Searches","['Claudio Guarcello', 'Alexander A. Dubkov', 'Davide Valenti', 'Bernardo Spagnolo']","Many-body and complex systems, both classical and quantum, often exhibit slow, nonlinear relaxation toward stationary states due to the presence of metastable configurations and environmental fluctuations. Nonlinear relaxation in a wide variety of natural systems proceeds through metastable states, which arise in condensed-matter physics as well as in fields ranging from cosmology and biology to high-energy physics. Moreover, noise-induced phenomena play a central role in shaping the dynamics of such systems far from equilibrium. This review develops a unifying perspective centered on noise-assisted stabilization and the statistical properties of metastable dynamics. We first discuss escape processes driven by Lévy flights in smooth metastable potentials, emphasizing the emergence of nonmonotonic residence-time behavior. We then connect these concepts to stochastic resistive switching in memristive devices, where noise-induced effects can enhance stability and reproducibility. We further examine driven dissipative quantum bistability, showing how the interplay between external driving and system-environment coupling reshapes escape pathways and lifetimes. Finally, we outline how switching-time statistics in current-biased Josephson junctions can provide an experimentally accessible strategy for axion detection, based on an axion-induced resonant-activation signature.",['cond-mat.stat-mech'],2026-01-30T06:53:59+00:00,https://arxiv.org/pdf/2601.22635v1,arxiv://2601.22635v1,3,20
2512.18585v2,Deep Teleportation: Quantum Simulation of Conscious Report in Attentional Blink,['Ahmad Sohrabi'],"Recent quantum models of cognition have successfully simulated several interesting effects in human experimental data, from vision to reasoning and recently even consciousness. The latter case, consciousness has been a quite challenging phenomenon to model, and most efforts have been through abstract mathematical quantum methods, mainly focused on conceptual issues. Classical (non-quantum) models of consciousness-related experiments exist, but they generally fail to align well with human data. We developed a straightforward quantum model to simulate conscious reporting of seeing or missing competing stimuli within the famous attentional blink paradigm. In an attentional blink task, a target stimulus (T2) that appears after a previous one (T1) can be consciously reported if the delay between presenting them is short enough (called lag 1), otherwise it can be rendered invisible during the so-called refractory period of attention (lags 2 to 6 and even longer). For modeling this phenomenon, we employed a three-qubit entanglement ansatz circuit in the form of a deep teleportation channel instead of the well-known EPR channel. While reporting the competing stimuli was supposed to be the classical measurement outcomes, the effect of distractor stimuli (i.e., masks, if any) was encoded simply as random angle rotations. The simulation outcome for different states was measured, and the classical outcome probabilities were further used as inputs to a simple linear neural network. The result revealed a non-linear, alternating state pattern that closely mirrors human responses in conscious stimuli reporting. The main result was a successful simulation of Lag 1 sparing, lag 7 divergence, and masking effect through probabilistic outcome of measurement in different conditions.",['q-bio.NC'],2025-12-21T04:01:46+00:00,https://arxiv.org/pdf/2512.18585v2,arxiv://2512.18585v2,4,20
2512.15837v1,Handling Class Imbalance Problem in Skin Lesion Classification: Finding Strengths and Weaknesses of Various Balancing Techniques,"['Ariful Islam Khandaker', 'Abdullah Al Shafi', 'Mohiuddin Ahmad']","Automatic skin lesion classification from dermoscopy images is important for the early diagnosis of skin diseases such as melanoma. Class imbalance in skin lesion datasets, notably the defects in the representation of malignant(cancerous) cases, is one of the difficulties for deep learning models' performances and generalizations. This paper offers an exhaustive review of some of the balancing methods that aim to address class imbalances using the example of the ISIC 2016 dataset. A light-weight CNN model, MobileNetV2, was combined with under-sampling, over-sampling, and hybrid balancing methods such as Tomek Links(TL), SMOTE, and SMOTE with TL. Over-sampling methods like SMOTE and ADASYN improve performance but may lead to overfitting due to redundant synthetic samples. Hybrid methods like SMOTE+TL counter this drawback by removing noisy or boundary samples so that model generalization is enhanced. Thus, this analysis stresses the need to choose the right balancing methods for robust and sensitive diagnostic systems in medical image processing.",['q-bio.QM'],2025-12-17T18:29:50+00:00,https://arxiv.org/pdf/2512.15837v1,arxiv://2512.15837v1,5,20
2511.14363v1,"Quantum Biology, Quantum Simulation and Quantum Coherent Devices","['Rong-Hang Chen', 'Jing Dong', 'Wen Yang', 'Qing Ai', 'Gui-Lu Long']","Many living organisms can exploit quantum mechanical effects to gain distinct biological advantages. In plants, photosynthesis uses quantum coherence to achieve near 100% efficiency in energy transfer. With advances in experimental techniques, two-dimensional electronic spectroscopy can reveal dynamic processes such as coherence and coupling within a system, and it plays an important role in studying energy transfer in photosynthesis. On the theory side, methods such as the generalized Bloch-Redfield theory and the hierarchical equations of motion are used to model photosynthetic systems. Quantum simulation, as a high-efficiency and low-complexity approach, has also made progress across various platforms in the study of photosynthesis. In recent years, a series of studies has introduced quantum coherence into artificial systems to enhance energy transfer efficiency, laying the groundwork for the design of coherent devices with efficient energy transport. Birds can use the weak geomagnetic field and spin-dependent chemical reactions to detect direction. Theoretical frameworks for animal navigation include magnetite-based mechanisms, magnetoreceptor genes, and the radical-pair mechanism. Quantum simulations of navigation have also advanced on multiple platforms. Inspired by animal navigation, diverse quantum effects have been applied to improve sensing and to support navigation tasks. This paper presents a comprehensive review of progress on quantum coherence in photosynthesis and avian navigation, along with related theoretical methods, quantum simulation approaches, and research on quantum coherent devices.","['quant-ph', 'cond-mat.mtrl-sci', 'physics.bio-ph']",2025-11-18T11:10:31+00:00,https://arxiv.org/pdf/2511.14363v1,arxiv://2511.14363v1,6,20
2510.26887v1,The Denario project: Deep knowledge AI agents for scientific discovery,"['Francisco Villaescusa-Navarro', 'Boris Bolliet', 'Pablo Villanueva-Domingo', 'Adrian E. Bayer', 'Aidan Acquah', 'Chetana Amancharla', 'Almog Barzilay-Siegal', 'Pablo Bermejo', 'Camille Bilodeau', 'Pablo Cárdenas Ramírez', 'Miles Cranmer', 'Urbano L. França', 'ChangHoon Hahn', 'Yan-Fei Jiang', 'Raul Jimenez', 'Jun-Young Lee', 'Antonio Lerario', 'Osman Mamun', 'Thomas Meier', 'Anupam A. Ojha', 'Pavlos Protopapas', 'Shimanto Roy', 'David N. Spergel', 'Pedro Tarancón-Álvarez', 'Ujjwal Tiwari', 'Matteo Viel', 'Digvijay Wadekar', 'Chi Wang', 'Bonny Y. Wang', 'Licong Xu', 'Yossi Yovel', 'Shuwen Yue', 'Wen-Han Zhou', 'Qiyao Zhu', 'Jiajun Zou', 'Íñigo Zubeldia']","We present Denario, an AI multi-agent system designed to serve as a scientific research assistant. Denario can perform many different tasks, such as generating ideas, checking the literature, developing research plans, writing and executing code, making plots, and drafting and reviewing a scientific paper. The system has a modular architecture, allowing it to handle specific tasks, such as generating an idea, or carrying out end-to-end scientific analysis using Cmbagent as a deep-research backend. In this work, we describe in detail Denario and its modules, and illustrate its capabilities by presenting multiple AI-generated papers generated by it in many different scientific disciplines such as astrophysics, biology, biophysics, biomedical informatics, chemistry, material science, mathematical physics, medicine, neuroscience and planetary science. Denario also excels at combining ideas from different disciplines, and we illustrate this by showing a paper that applies methods from quantum physics and machine learning to astrophysical data. We report the evaluations performed on these papers by domain experts, who provided both numerical scores and review-like feedback. We then highlight the strengths, weaknesses, and limitations of the current system. Finally, we discuss the ethical implications of AI-driven research and reflect on how such technology relates to the philosophy of science. We publicly release the code at https://github.com/AstroPilot-AI/Denario. A Denario demo can also be run directly on the web at https://huggingface.co/spaces/astropilot-ai/Denario, and the full app will be deployed on the cloud.","['cs.AI', 'cs.CL', 'cs.LG', 'cs.MA']",2025-10-30T18:00:12+00:00,https://arxiv.org/pdf/2510.26887v1,arxiv://2510.26887v1,7,20
2510.07196v1,"Spin quantum computing, spin quantum cognition","['Betony Adams', 'Francesco Petruccione']","Over two decades ago, Bruce Kane proposed that spin-half phosphorus nuclei embedded in a spin-zero silicon substrate could serve as a viable platform for spin-based quantum computing. These nuclear spins exhibit remarkably long coherence times, making them ideal candidates for qubits. Despite this advantage, practical realisation of spin quantum computing remains a challenge. More recently, physicist Matthew Fisher proposed a hypothesis linking nuclear spin dynamics, specifically those of phosphorus nuclei within the spin-zero matrix of calcium phosphate molecules, to neural activation and, potentially, cognition. The theory has generated both interest and scepticism, with some fundamental questions remaining. We review this intersection of quantum computing and quantum biology by outlining the similarities between these models of quantum computing and quantum cognition. We then address some of the open questions and the lessons that might be learned in each context. In doing so, we highlight a promising bidirectional exchange: not only might quantum computing offer tools for understanding quantum biology, but biological models may also inspire novel strategies for quantum information processing.",['quant-ph'],2025-10-08T16:26:52+00:00,https://arxiv.org/pdf/2510.07196v1,arxiv://2510.07196v1,8,20
2508.21350v1,The Quantum Compass Mechanism in Cryptochromes,"['Zou Chengye', 'Liu Ya-jun', 'Wang Beibei']","Cryptochrome flavoproteins are prime candidates for mediating magnetic sensing in migratory animals via the radical pair mechanism (RPM), a spin-dependent process initiated by photoinduced electron transfer. The canonical FAD-tryptophan radical pair exhibits pronounced anisotropic hyperfine couplings, enabling sensitivity to geomagnetic fields. However, maintaining spin coherence under physiological conditions and explaining responses to weak radiofrequency fields remain unresolved challenges. Alternative radicals, such as superoxide and ascorbate, have been proposed to enhance anisotropy or suppress decoherence. This review summarizes the quantum basis of magnetoreception, evaluates both canonical and alternative radical pair models, and discusses amplification strategies including triads, spin scavenging, and bystander radicals. Emphasis is placed on how molecular geometry, exchange and dipolar interactions, and hyperfine topology modulate magnetic sensitivity. Key open questions and future directions are outlined, highlighting the need for structural and dynamical data under physiological conditions.","['q-bio.BM', 'physics.chem-ph']",2025-08-29T06:24:27+00:00,https://arxiv.org/pdf/2508.21350v1,arxiv://2508.21350v1,9,20
2507.10722v2,"Bridging Brains and Machines: A Unified Frontier in Neuroscience, Artificial Intelligence, and Neuromorphic Systems","['Sohan Shankar', 'Yi Pan', 'Hanqi Jiang', 'Zhengliang Liu', 'Mohammad R. Darbandi', 'Agustin Lorenzo', 'Junhao Chen', 'Weihang You', 'Md Mehedi Hasan', 'Arif Hassan Zidan', 'Eliana Gelman', 'Joshua A. Konfrst', 'Jillian Y. Russell', 'Katelyn Fernandes', 'Tianze Yang', 'Yiwei Li', 'Huaqin Zhao', 'Afrar Jahin', 'Triparna Ganguly', 'Shair Dinesha', 'Yifan Zhou', 'Zihao Wu', 'Xinliang Li', 'Lokesh Adusumilli', 'Aziza Hussein', 'Sagar Nookarapu', 'Jixin Hou', 'Kun Jiang', 'Jiaxi Li', 'Brenden Heinel', 'XianShen Xi', 'Hailey Hubbard', 'Zayna Khan', 'Levi Whitaker', 'Ivan Cao', 'Max Allgaier', 'Andrew Darby', 'Lin Zhao', 'Lu Zhang', 'Xiaoqiao Wang', 'Xiang Li', 'Wei Zhang', 'Xiaowei Yu', 'Dajiang Zhu', 'Yohannes Abate', 'Tianming Liu']","This position and survey paper identifies the emerging convergence of neuroscience, artificial general intelligence (AGI), and neuromorphic computing toward a unified research paradigm. Using a framework grounded in brain physiology, we highlight how synaptic plasticity, sparse spike-based communication, and multimodal association provide design principles for next-generation AGI systems that potentially combine both human and machine intelligences. The review traces this evolution from early connectionist models to state-of-the-art large language models, demonstrating how key innovations like transformer attention, foundation-model pre-training, and multi-agent architectures mirror neurobiological processes like cortical mechanisms, working memory, and episodic consolidation. We then discuss emerging physical substrates capable of breaking the von Neumann bottleneck to achieve brain-scale efficiency in silicon: memristive crossbars, in-memory compute arrays, and emerging quantum and photonic devices. There are four critical challenges at this intersection: 1) integrating spiking dynamics with foundation models, 2) maintaining lifelong plasticity without catastrophic forgetting, 3) unifying language with sensorimotor learning in embodied agents, and 4) enforcing ethical safeguards in advanced neuromorphic autonomous systems. This combined perspective across neuroscience, computation, and hardware offers an integrative agenda for in each of these fields.","['q-bio.NC', 'cs.NE']",2025-07-14T18:43:05+00:00,https://arxiv.org/pdf/2507.10722v2,arxiv://2507.10722v2,10,20
